time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999991402,-2.000024380,0.019999925,0.014223143,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000008598,0.000024380,0.030029978,-0.014223143
0.040000000,-1.999956193,-2.000096677,0.031530473,0.008258363,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000043807,0.000096677,0.018529335,-0.008258363
0.070000000,-1.999873972,-2.000229082,0.031149200,0.008128363,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000126028,0.000229082,0.018940542,-0.008128363
0.110000000,-1.999712117,-2.000479341,0.046577368,0.017197943,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000287883,0.000479341,0.003552363,-0.017197943
0.140000000,-1.999544425,-2.000721220,0.046924936,0.023780106,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000455575,0.000721220,0.003234796,-0.023856990
0.170000000,-1.999349803,-2.001013246,0.047279759,0.022825106,-1.999999999,-1.999999999,0.050394148,-0.000927458,-0.000650196,0.001013247,0.003114389,-0.023752564
0.210000000,-1.999044302,-2.001478303,0.052731737,0.011375427,-1.999998682,-1.999999609,0.051923651,-0.004080179,-0.000954380,0.001478693,-0.000808085,-0.015455606
0.240000000,-1.998779520,-2.001875534,0.051822582,0.004607622,-1.999994405,-1.999998179,0.054040268,-0.007670048,-0.001214885,0.001877356,0.002217686,-0.012277670
0.270000000,-1.998489011,-2.002313643,0.054882483,-0.000004878,-1.999987598,-1.999995464,0.056833565,-0.011994316,-0.001498587,0.002318180,0.001951083,-0.011989438
0.310000000,-1.998036263,-2.002975258,0.056236143,-0.008762641,-1.999976192,-1.999988933,0.061728108,-0.018869207,-0.001939929,0.002986325,0.005491965,-0.010106566
0.340000000,-1.997654282,-2.003532988,0.062846789,-0.018550141,-1.999966040,-1.999981304,0.066211634,-0.024689201,-0.002311758,0.003551684,0.003364845,-0.006139060
0.370000000,-1.997227935,-2.004142002,0.068233816,-0.025075141,-1.999953353,-1.999971481,0.071246157,-0.030904413,-0.002725418,0.004170521,0.003012340,-0.005829272
0.410000000,-1.996593158,-2.005017407,0.071294143,-0.038480124,-1.999930877,-1.999954631,0.078901050,-0.039786178,-0.003337718,0.005062775,0.007606907,-0.001306054
0.440000000,-1.996071878,-2.005710698,0.079933211,-0.043407514,-1.999911473,-1.999939492,0.085295225,-0.046803010,-0.003839595,0.005771206,0.005362014,-0.003395495
0.470000000,-1.995510338,-2.006450762,0.087142423,-0.050615014,-1.999890930,-1.999922466,0.092132932,-0.054031503,-0.004380592,0.006528296,0.004990509,-0.003416489
0.510000000,-1.903495378,-2.145958233,0.093291447,-0.062419581,-1.999859850,-1.999895945,0.102010241,-0.063988042,-0.096364473,0.146062288,0.008718794,-0.001568461
0.540000000,-1.901052459,-2.149560125,0.104245475,-0.071091166,-1.999832710,-1.999873141,0.109946770,-0.071645657,-0.098780250,0.149686983,0.005701296,-0.000554492
0.570000000,-1.898566383,-2.153208349,0.112995535,-0.078913666,-1.999803548,-1.999848262,0.118246536,-0.079415227,-0.101237165,0.153360086,0.005251001,-0.000501562
0.610000000,-1.895191296,-2.158152228,0.130080899,-0.090404338,-1.999765055,-1.999804875,0.129941697,-0.089941091,-0.104573759,0.158347354,-0.000139201,0.000463247
0.640000000,-1.892613960,-2.161940304,0.144446414,-0.098149459,-1.999743194,-1.999742858,0.139146402,-0.097933774,-0.107129234,0.162197446,-0.005300012,0.000215686
0.670000000,-1.890004734,-2.165785745,0.155179122,-0.106306959,-1.999730982,-1.999635266,0.148651384,-0.105987559,-0.109726248,0.166150479,-0.006527738,0.000319401
0.710000000,-1.886455685,-2.170995776,0.165432647,-0.118034329,-1.999732671,-1.999360284,0.161849394,-0.116823592,-0.113276986,0.171635492,-0.003583253,0.001210737
